rho_a(555)  rho_a(659)  rho_a(865)  rho_a(1375)  rho_a(1610)  rho_a(2250)  
  3.11691699E-03   2.55438756E-03   1.71550607E-03   6.41739388E-04   3.95150685E-04   1.36027315E-04 
  9.79515863E-03   8.16562578E-03   5.70546934E-03   2.43141673E-03   1.63826133E-03   6.45820059E-04 
  1.65240151E-02   1.42759202E-02   9.25337655E-03   2.94844962E-03   1.79537722E-03   6.79035557E-04 
  8.91085169E-03   8.09761882E-03   5.69402484E-03   2.07528860E-03   1.33223479E-03   4.99911522E-04 
  3.83151045E-04   2.92575259E-04   1.91486301E-04   9.38514160E-05   6.67769626E-05   2.82444962E-05 
  5.68195692E-03   4.37806306E-03   2.51815467E-03   6.84387080E-04   3.89335630E-04   1.16879283E-04 
  9.12278402E-03   7.03398637E-03   4.11346489E-03   1.52137535E-03   1.12821335E-03   7.35767958E-04 
  1.44706642E-03   1.15524283E-03   7.84682404E-04   3.93007711E-04   3.13199476E-04   1.93672904E-04 
  3.44163184E-04   3.04454060E-04   2.52569582E-04   1.82881095E-04   1.55670947E-04   1.02627159E-04 
  2.72930541E-03   2.55066294E-03   2.00046587E-03   1.22921731E-03   1.00927265E-03   6.04669042E-04 
  3.50467339E-04   3.24199833E-04   2.42423931E-04   1.47279172E-04   1.26473209E-04   6.69562583E-05 
  6.36481598E-02   5.57606509E-02   3.51353965E-02   1.03929939E-02   6.83656689E-03   3.82921429E-03 
  6.63286085E-05   6.53358709E-05   6.46424742E-05   6.24088044E-05   6.04588981E-05   5.17037853E-05 
  2.46540049E-04   1.90829715E-04   1.16649308E-04   3.47047218E-05   1.89821629E-05   4.35660265E-06 
  3.40115925E-02   2.80177192E-02   1.78205594E-02   5.57141668E-03   3.27452377E-03   1.05428601E-03 
  4.60779485E-03   3.87460771E-03   3.00660622E-03   1.76756030E-03   1.46212874E-03   1.01026317E-03 
  1.31606946E-04   1.04065669E-04   6.83236592E-05   2.78019292E-05   1.97071057E-05   1.09677711E-05 
  7.16580221E-05   5.67781193E-05   4.09068703E-05   2.08146552E-05   1.56001833E-05   8.91574331E-06 
  2.77878997E-02   2.20564469E-02   1.24545626E-02   3.69989427E-03   2.56675462E-03   1.58896265E-03 
